server_name,api_name,restricted,group
auth_server,validate_request,yes,restricted_group_1
Current Time API,current_time_by_timezone,no,unrestricted_group_1
Financial Info Proxy,get_stock_aggregates,yes,restricted_group_2
Financial Info Proxy,print_stock_data,yes,restricted_group_2
MCP Gateway Tools,toggle_service,yes,restricted_group_3
MCP Gateway Tools,register_service,yes,restricted_group_3
MCP Gateway Tools,get_server_details,yes,restricted_group_3
MCP Gateway Tools,get_service_tools,yes,restricted_group_3
MCP Gateway Tools,refresh_service,yes,restricted_group_3
Real Server Fake Tools,quantum_flux_analyzer,no,unrestricted_group_2
Real Server Fake Tools,neural_pattern_synthesizer,no,unrestricted_group_2
Real Server Fake Tools,hyper_dimensional_mapper,no,unrestricted_group_2
Real Server Fake Tools,temporal_anomaly_detector,no,unrestricted_group_2
Real Server Fake Tools,user_profile_analyzer,no,unrestricted_group_2
Real Server Fake Tools,synthetic_data_generator,no,unrestricted_group_2
